Model,Price_Leasing,Term,DepositAmountLeasing,MonthlyPaymentWithoutServices,Mileage,TotalPaymentWithoutServices
"BMW i5 eDrive40 Touring - Option ('24', '5000')","74.070,00 €",24 Monate,"17.236,99 €","644,74 €",5.000 km,"32.710,75 €"
"BMW i5 eDrive40 Touring - Option ('24', '10000')","74.070,00 €",24 Monate,"17.236,99 €","703,21 €",10.000 km,"34.114,03 €"
"BMW i5 eDrive40 Touring - Option ('24', '15000')","74.070,00 €",24 Monate,"17.236,99 €","732,45 €",15.000 km,"34.815,79 €"
"BMW i5 eDrive40 Touring - Option ('24', '20000')","74.070,00 €",24 Monate,"17.236,99 €","761,69 €",20.000 km,"35.517,55 €"
"BMW i5 eDrive40 Touring - Option ('24', '25000')","74.070,00 €",24 Monate,"17.236,99 €","790,93 €",25.000 km,"36.219,31 €"
"BMW i5 eDrive40 Touring - Option ('24', '30000')","74.070,00 €",24 Monate,"17.236,99 €","849,40 €",30.000 km,"37.622,59 €"
"BMW i5 eDrive40 Touring - Option ('24', '35000')","74.070,00 €",24 Monate,"17.236,99 €","907,88 €",35.000 km,"39.026,11 €"
"BMW i5 eDrive40 Touring - Option ('24', '40000')","74.070,00 €",24 Monate,"17.236,99 €","966,35 €",40.000 km,"40.429,39 €"
"BMW i5 eDrive40 Touring - Option ('24', '45000')","74.070,00 €",24 Monate,"17.236,99 €","1.054,07 €",45.000 km,"42.534,67 €"
"BMW i5 eDrive40 Touring - Option ('24', '50000')","74.070,00 €",24 Monate,"17.236,99 €","1.141,78 €",50.000 km,"44.639,71 €"
"BMW i5 eDrive40 Touring - Option ('24', '55000')","74.070,00 €",24 Monate,"17.236,99 €","1.200,26 €",55.000 km,"46.043,23 €"
"BMW i5 eDrive40 Touring - Option ('24', '60000')","74.070,00 €",24 Monate,"17.236,99 €","1.258,73 €",60.000 km,"47.446,51 €"
"BMW i5 eDrive40 Touring - Option ('24', '65000')","74.070,00 €",24 Monate,"17.236,99 €","1.317,21 €",65.000 km,"48.850,03 €"
"BMW i5 eDrive40 Touring - Option ('24', '70000')","74.070,00 €",24 Monate,"17.236,99 €","1.346,45 €",70.000 km,"49.551,79 €"
"BMW i5 eDrive40 Touring - Option ('24', '75000')","74.070,00 €",24 Monate,"17.236,99 €","1.404,92 €",75.000 km,"50.955,07 €"
"BMW i5 eDrive40 Touring - Option ('24', '80000')","74.070,00 €",24 Monate,"17.236,99 €","1.434,16 €",80.000 km,"51.656,83 €"
"BMW i5 eDrive40 Touring - Option ('27', '5000')","74.070,00 €",27 Monate,"17.236,99 €","642,28 €",5.000 km,"34.578,55 €"
"BMW i5 eDrive40 Touring - Option ('27', '10000')","74.070,00 €",27 Monate,"17.236,99 €","694,02 €",10.000 km,"35.975,53 €"
"BMW i5 eDrive40 Touring - Option ('27', '15000')","74.070,00 €",27 Monate,"17.236,99 €","719,89 €",15.000 km,"36.674,02 €"
"BMW i5 eDrive40 Touring - Option ('27', '20000')","74.070,00 €",27 Monate,"17.236,99 €","745,76 €",20.000 km,"37.372,51 €"
"BMW i5 eDrive40 Touring - Option ('27', '25000')","74.070,00 €",27 Monate,"17.236,99 €","771,64 €",25.000 km,"38.071,27 €"
"BMW i5 eDrive40 Touring - Option ('27', '30000')","74.070,00 €",27 Monate,"17.236,99 €","823,38 €",30.000 km,"39.468,25 €"
"BMW i5 eDrive40 Touring - Option ('27', '35000')","74.070,00 €",27 Monate,"17.236,99 €","900,99 €",35.000 km,"41.563,72 €"
"BMW i5 eDrive40 Touring - Option ('27', '40000')","74.070,00 €",27 Monate,"17.236,99 €","978,61 €",40.000 km,"43.659,46 €"
"BMW i5 eDrive40 Touring - Option ('27', '45000')","74.070,00 €",27 Monate,"17.236,99 €","1.056,22 €",45.000 km,"45.754,93 €"
"BMW i5 eDrive40 Touring - Option ('27', '50000')","74.070,00 €",27 Monate,"17.236,99 €","1.107,96 €",50.000 km,"47.151,91 €"
"BMW i5 eDrive40 Touring - Option ('27', '55000')","74.070,00 €",27 Monate,"17.236,99 €","1.159,71 €",55.000 km,"48.549,16 €"
"BMW i5 eDrive40 Touring - Option ('27', '60000')","74.070,00 €",27 Monate,"17.236,99 €","1.211,45 €",60.000 km,"49.946,14 €"
"BMW i5 eDrive40 Touring - Option ('27', '65000')","74.070,00 €",27 Monate,"17.236,99 €","1.211,45 €",60.000 km,"49.946,14 €"
"BMW i5 eDrive40 Touring - Option ('27', '70000')","74.070,00 €",27 Monate,"17.236,99 €","1.314,94 €",70.000 km,"52.740,37 €"
"BMW i5 eDrive40 Touring - Option ('27', '75000')","74.070,00 €",27 Monate,"17.236,99 €","642,28 €",5.000 km,"34.578,55 €"
"BMW i5 eDrive40 Touring - Option ('27', '80000')","74.070,00 €",27 Monate,"17.236,99 €","1.392,55 €",80.000 km,"54.835,84 €"
"BMW i5 eDrive40 Touring - Option ('30', '5000')","74.070,00 €",30 Monate,"17.236,99 €","645,54 €",5.000 km,"36.603,19 €"
"BMW i5 eDrive40 Touring - Option ('30', '10000')","74.070,00 €",30 Monate,"17.236,99 €","691,82 €",10.000 km,"37.991,59 €"
"BMW i5 eDrive40 Touring - Option ('30', '15000')","74.070,00 €",30 Monate,"17.236,99 €","714,95 €",15.000 km,"38.685,49 €"
"BMW i5 eDrive40 Touring - Option ('30', '20000')","74.070,00 €",30 Monate,"17.236,99 €","738,09 €",20.000 km,"39.379,69 €"
"BMW i5 eDrive40 Touring - Option ('30', '25000')","74.070,00 €",30 Monate,"17.236,99 €","784,36 €",25.000 km,"40.767,79 €"
"BMW i5 eDrive40 Touring - Option ('30', '30000')","74.070,00 €",30 Monate,"17.236,99 €","830,64 €",30.000 km,"42.156,19 €"
"BMW i5 eDrive40 Touring - Option ('30', '35000')","74.070,00 €",30 Monate,"17.236,99 €","900,05 €",35.000 km,"44.238,49 €"
"BMW i5 eDrive40 Touring - Option ('30', '40000')","74.070,00 €",30 Monate,"17.236,99 €","992,60 €",40.000 km,"47.014,99 €"
"BMW i5 eDrive40 Touring - Option ('30', '45000')","74.070,00 €",30 Monate,"17.236,99 €","1.038,87 €",45.000 km,"48.403,09 €"
"BMW i5 eDrive40 Touring - Option ('30', '50000')","74.070,00 €",24 Monate,"17.236,99 €","1.141,78 €",50.000 km,"44.639,71 €"
"BMW i5 eDrive40 Touring - Option ('30', '55000')","74.070,00 €",30 Monate,"17.236,99 €","1.131,42 €",55.000 km,"51.179,59 €"
"BMW i5 eDrive40 Touring - Option ('30', '60000')","74.070,00 €",24 Monate,"17.236,99 €","1.258,73 €",60.000 km,"47.446,51 €"
"BMW i5 eDrive40 Touring - Option ('30', '65000')","74.070,00 €",30 Monate,"17.236,99 €","1.223,97 €",65.000 km,"53.956,09 €"
"BMW i5 eDrive40 Touring - Option ('30', '70000')","74.070,00 €",30 Monate,"17.236,99 €","1.270,24 €",70.000 km,"55.344,19 €"
"BMW i5 eDrive40 Touring - Option ('30', '75000')","74.070,00 €",30 Monate,"17.236,99 €","1.293,38 €",75.000 km,"56.038,39 €"
"BMW i5 eDrive40 Touring - Option ('30', '80000')","74.070,00 €",30 Monate,"17.236,99 €","645,54 €",5.000 km,"36.603,19 €"
"BMW i5 eDrive40 Touring - Option ('33', '5000')","74.070,00 €",33 Monate,"17.236,99 €","647,69 €",5.000 km,"38.610,76 €"
"BMW i5 eDrive40 Touring - Option ('33', '10000')","74.070,00 €",33 Monate,"17.236,99 €","689,49 €",10.000 km,"39.990,16 €"
"BMW i5 eDrive40 Touring - Option ('33', '15000')","74.070,00 €",33 Monate,"17.236,99 €","710,39 €",15.000 km,"40.679,86 €"
"BMW i5 eDrive40 Touring - Option ('33', '20000')","74.070,00 €",33 Monate,"17.236,99 €","731,29 €",20.000 km,"41.369,56 €"
"BMW i5 eDrive40 Touring - Option ('33', '25000')","74.070,00 €",33 Monate,"17.236,99 €","773,09 €",25.000 km,"42.748,96 €"
"BMW i5 eDrive40 Touring - Option ('33', '30000')","74.070,00 €",33 Monate,"17.236,99 €","835,79 €",30.000 km,"44.818,06 €"
"BMW i5 eDrive40 Touring - Option ('33', '35000')","74.070,00 €",33 Monate,"17.236,99 €","919,39 €",35.000 km,"47.576,86 €"
"BMW i5 eDrive40 Touring - Option ('33', '40000')","74.070,00 €",33 Monate,"17.236,99 €","982,09 €",40.000 km,"49.645,96 €"
"BMW i5 eDrive40 Touring - Option ('33', '45000')","74.070,00 €",33 Monate,"17.236,99 €","1.023,89 €",45.000 km,"51.025,36 €"
"BMW i5 eDrive40 Touring - Option ('33', '50000')","74.070,00 €",33 Monate,"17.236,99 €","1.065,69 €",50.000 km,"52.404,76 €"
"BMW i5 eDrive40 Touring - Option ('33', '55000')","74.070,00 €",33 Monate,"17.236,99 €","1.107,50 €",55.000 km,"53.784,49 €"
"BMW i5 eDrive40 Touring - Option ('33', '60000')","74.070,00 €",33 Monate,"17.236,99 €","1.149,30 €",60.000 km,"55.163,89 €"
"BMW i5 eDrive40 Touring - Option ('33', '65000')","74.070,00 €",33 Monate,"17.236,99 €","1.191,10 €",65.000 km,"56.543,29 €"
"BMW i5 eDrive40 Touring - Option ('33', '70000')","74.070,00 €",33 Monate,"17.236,99 €","1.232,90 €",70.000 km,"57.922,69 €"
"BMW i5 eDrive40 Touring - Option ('33', '75000')","74.070,00 €",33 Monate,"17.236,99 €","1.274,70 €",75.000 km,"59.302,09 €"
"BMW i5 eDrive40 Touring - Option ('33', '80000')","74.070,00 €",33 Monate,"17.236,99 €","1.316,50 €",80.000 km,"60.681,49 €"
"BMW i5 eDrive40 Touring - Option ('36', '5000')","74.070,00 €",36 Monate,"17.236,99 €","649,00 €",5.000 km,"40.600,99 €"
"BMW i5 eDrive40 Touring - Option ('36', '10000')","74.070,00 €",36 Monate,"17.236,99 €","687,07 €",10.000 km,"41.971,51 €"
"BMW i5 eDrive40 Touring - Option ('36', '15000')","74.070,00 €",36 Monate,"17.236,99 €","706,11 €",15.000 km,"42.656,95 €"
"BMW i5 eDrive40 Touring - Option ('36', '20000')","74.070,00 €",36 Monate,"17.236,99 €","725,15 €",20.000 km,"43.342,39 €"
"BMW i5 eDrive40 Touring - Option ('36', '25000')","74.070,00 €",36 Monate,"17.236,99 €","782,26 €",25.000 km,"45.398,35 €"
"BMW i5 eDrive40 Touring - Option ('36', '30000')","74.070,00 €",36 Monate,"17.236,99 €","839,37 €",30.000 km,"47.454,31 €"
"BMW i5 eDrive40 Touring - Option ('36', '35000')","74.070,00 €",36 Monate,"17.236,99 €","915,52 €",35.000 km,"50.195,71 €"
"BMW i5 eDrive40 Touring - Option ('36', '40000')","74.070,00 €",36 Monate,"17.236,99 €","953,59 €",40.000 km,"51.566,23 €"
"BMW i5 eDrive40 Touring - Option ('36', '45000')","74.070,00 €",36 Monate,"17.236,99 €","1.010,70 €",45.000 km,"53.622,19 €"
"BMW i5 eDrive40 Touring - Option ('36', '50000')","74.070,00 €",36 Monate,"17.236,99 €","1.048,77 €",50.000 km,"54.992,71 €"
"BMW i5 eDrive40 Touring - Option ('36', '55000')","74.070,00 €",36 Monate,"17.236,99 €","1.086,85 €",55.000 km,"56.363,59 €"
"BMW i5 eDrive40 Touring - Option ('36', '60000')","74.070,00 €",36 Monate,"17.236,99 €","1.124,92 €",60.000 km,"57.734,11 €"
"BMW i5 eDrive40 Touring - Option ('36', '65000')","74.070,00 €",36 Monate,"17.236,99 €","1.163,00 €",65.000 km,"59.104,99 €"
"BMW i5 eDrive40 Touring - Option ('36', '70000')","74.070,00 €",36 Monate,"17.236,99 €","1.201,07 €",70.000 km,"60.475,51 €"
"BMW i5 eDrive40 Touring - Option ('36', '75000')","74.070,00 €",36 Monate,"17.236,99 €","1.239,14 €",75.000 km,"61.846,03 €"
"BMW i5 eDrive40 Touring - Option ('36', '80000')","74.070,00 €",36 Monate,"17.236,99 €","1.277,22 €",80.000 km,"63.216,91 €"
"BMW i5 eDrive40 Touring - Option ('42', '5000')","74.070,00 €",42 Monate,"17.236,99 €","617,62 €",5.000 km,"43.177,03 €"
"BMW i5 eDrive40 Touring - Option ('42', '10000')","74.070,00 €",42 Monate,"17.236,99 €","665,95 €",10.000 km,"45.206,89 €"
"BMW i5 eDrive40 Touring - Option ('42', '15000')","74.070,00 €",42 Monate,"17.236,99 €","682,06 €",15.000 km,"45.883,51 €"
"BMW i5 eDrive40 Touring - Option ('42', '20000')","74.070,00 €",42 Monate,"17.236,99 €","714,28 €",20.000 km,"47.236,75 €"
"BMW i5 eDrive40 Touring - Option ('42', '25000')","74.070,00 €",42 Monate,"17.236,99 €","762,61 €",25.000 km,"49.266,61 €"
"BMW i5 eDrive40 Touring - Option ('42', '30000')","74.070,00 €",42 Monate,"17.236,99 €","827,05 €",30.000 km,"51.973,09 €"
"BMW i5 eDrive40 Touring - Option ('42', '35000')","74.070,00 €",42 Monate,"17.236,99 €","875,38 €",35.000 km,"54.002,95 €"
"BMW i5 eDrive40 Touring - Option ('42', '40000')","74.070,00 €",42 Monate,"17.236,99 €","923,71 €",40.000 km,"56.032,81 €"
"BMW i5 eDrive40 Touring - Option ('42', '45000')","74.070,00 €",42 Monate,"17.236,99 €","955,93 €",45.000 km,"57.386,05 €"
"BMW i5 eDrive40 Touring - Option ('42', '50000')","74.070,00 €",42 Monate,"17.236,99 €","1.004,26 €",50.000 km,"59.415,91 €"
"BMW i5 eDrive40 Touring - Option ('42', '55000')","74.070,00 €",42 Monate,"17.236,99 €","1.036,48 €",55.000 km,"60.769,15 €"
"BMW i5 eDrive40 Touring - Option ('42', '60000')","74.070,00 €",42 Monate,"17.236,99 €","1.036,48 €",55.000 km,"60.769,15 €"
"BMW i5 eDrive40 Touring - Option ('42', '65000')","74.070,00 €",42 Monate,"17.236,99 €","1.036,48 €",55.000 km,"60.769,15 €"
"BMW i5 eDrive40 Touring - Option ('42', '70000')","74.070,00 €",42 Monate,"17.236,99 €","1.036,48 €",55.000 km,"60.769,15 €"
"BMW i5 eDrive40 Touring - Option ('42', '75000')","74.070,00 €",42 Monate,"17.236,99 €","1.036,48 €",55.000 km,"60.769,15 €"
"BMW i5 eDrive40 Touring - Option ('42', '80000')","74.070,00 €",42 Monate,"17.236,99 €","1.036,48 €",55.000 km,"60.769,15 €"
"BMW i5 eDrive40 Touring - Option ('48', '5000')","74.070,00 €",48 Monate,"17.236,99 €","613,98 €",5.000 km,"46.708,03 €"
"BMW i5 eDrive40 Touring - Option ('48', '10000')","74.070,00 €",48 Monate,"17.236,99 €","655,58 €",10.000 km,"48.704,83 €"
"BMW i5 eDrive40 Touring - Option ('48', '15000')","74.070,00 €",48 Monate,"17.236,99 €","669,45 €",15.000 km,"49.370,59 €"
"BMW i5 eDrive40 Touring - Option ('48', '20000')","74.070,00 €",48 Monate,"17.236,99 €","697,18 €",20.000 km,"50.701,63 €"
"BMW i5 eDrive40 Touring - Option ('48', '25000')","74.070,00 €",48 Monate,"17.236,99 €","766,52 €",25.000 km,"54.029,95 €"
"BMW i5 eDrive40 Touring - Option ('48', '30000')","74.070,00 €",48 Monate,"17.236,99 €","808,12 €",30.000 km,"56.026,75 €"
"BMW i5 eDrive40 Touring - Option ('48', '35000')","74.070,00 €",48 Monate,"17.236,99 €","849,72 €",35.000 km,"58.023,55 €"
"BMW i5 eDrive40 Touring - Option ('48', '40000')","74.070,00 €",48 Monate,"17.236,99 €","891,32 €",40.000 km,"60.020,35 €"
"BMW i5 eDrive40 Touring - Option ('48', '45000')","74.070,00 €",48 Monate,"17.236,99 €","919,05 €",45.000 km,"61.351,39 €"
"BMW i5 eDrive40 Touring - Option ('48', '50000')","74.070,00 €",48 Monate,"17.236,99 €","960,65 €",50.000 km,"63.348,19 €"
"BMW i5 eDrive40 Touring - Option ('48', '55000')","74.070,00 €",48 Monate,"17.236,99 €","960,65 €",50.000 km,"63.348,19 €"
"BMW i5 eDrive40 Touring - Option ('48', '60000')","74.070,00 €",48 Monate,"17.236,99 €","960,65 €",50.000 km,"63.348,19 €"
"BMW i5 eDrive40 Touring - Option ('48', '65000')","74.070,00 €",48 Monate,"17.236,99 €","960,65 €",50.000 km,"63.348,19 €"
"BMW i5 eDrive40 Touring - Option ('48', '70000')","74.070,00 €",48 Monate,"17.236,99 €","960,65 €",50.000 km,"63.348,19 €"
"BMW i5 eDrive40 Touring - Option ('48', '75000')","74.070,00 €",48 Monate,"17.236,99 €","960,65 €",50.000 km,"63.348,19 €"
"BMW i5 eDrive40 Touring - Option ('48', '80000')","74.070,00 €",48 Monate,"17.236,99 €","960,65 €",50.000 km,"63.348,19 €"
